"id","comment"
"eVKXYUlxHMY",
"-IdZ0ENfEeY",
"w_Cse2kDmwE",
"_aNYmHSoJIM",
"ThykCE67kQQ",
"a0-USyCpbqU",
"OPZ0Iux8jYo",
"Mhsc0Z0qnzU",
"mP1dYANALBE",
"JWu6fkkvRms",
"UsMmT_HGk5Y",
"-9upW5Dku80",
"8DA16PP28MY",
"hmoMEvK02Lc",
"hTaJ0-pnY4k",
"iXU5IcjAcTg",
"TQ0Zw-8vdjg",
"PYBndgYwEfk",
"cWaKkrkxUsw",
"yDls5_rQU2c",
"p8pM_xuqunQ",
"zsCwUZNSLvA",
"x7ExgtozwfM",
"f8yGM2s9dko",
"kFqPFEKIr6w",
"NFXLqkw29v4",
"dM_bH_k-w4k",
"DkRj74Hv4v4",
"LDdU3EePV-s",
"cx_rJAgGQ1E",
"562cqe13nUg",
"TYYkHnLceBA",
"SsNgLobpFfk",
"dDzIoKz4LyA",
"UUuRvRR9Us8",
"4x1NgprDpPo",
"HrVZFoIavc0",
"oVwuLQR-xk4",
"tYXct6MfbmI",
"QLtk6WGf4v0",
"J_S26jKzbZY",
"LWSBKdNVRpk",
"iyTNWpQdVao",
"fYD8FT_7JIQ",
"YfUxyFAytno",
"SHdB5x6Tp04",
"_QQLrHszK2U",
"Cz5gzmP11PE",
"1a2OFuupNmg",
"g9BrcQHiBK4",
"R65ahmbUTwg",
"M8Cxre9IqeQ",
"MunTB9-G2Es",
"g3qYZRjC5DM",
"LZTbZ2uca9I",
"PjFdaEHP72M",
"HUPUU0yzemU",
"7d6P3qbRbPI",
"m35bnpcQKI0",
"eWNaqupLRkA",
"WDX-L-P5CJo",
"r_cl-95kqmg",
"2jrNzhRizJc",
"P60VcbJRJQ0",
"sFTaSESR660",
"I2NShywNYP4",
"XaeFEgdSjGM",
"bfRUH2XYDPM",
"najqO9_qwsM",
"OWlBJvHwq2s",
,"Это видео мне подняло  настроение))0)"
,"ЭТО ТАК ПРИКОЛЬНО МОНТАЖ СУПЕР УДАЧИ ТЕБК В РОЗВИТИЙ Я В ТЕБЯ ВЕРЮ)"
"j5-AVKqTb-A",
"8uo8oP0JlYw",
"OjBfSsTE_S4",
"ny3BcJpkUT0",
"AO3o8W9jjy8",
"KiuW7WTCHSE",
"P6-tIYCiSpY",
"ODZTSkeY3eU",
"SOr4j0vErWg",
"-nLWMJQV8CE",
"beIdpi57afY",
"kPOfJh7QR2Y",
"Zvsu1hf14ao",
"TP7lyge_NME",
"f-FQEwuPQPE",
"0PxeIxc6LMw",
"2rMaFviwNfM",
"9W4-GB7JtXg",
"WQ2NHf2JFH8",
"YljsBfHvaq4",
"jD9zNw079aM",
"1D_9zGsqDFU",
"OnFV0TEaPEY",
"wGtobmhcq7g",
"xiK7SebCXlE",
"_gcADNwyx8Y",
"mNkYZncC7j8",
"hiw0DJqUmiw",
"Uk_HfYfrXSM",
"tpp48HaeOVE",
"tuudQ92320M",
"hOJCGiqn55w",
"na8s-ef1QSM",
"8FhbXv2SEK0",
"Iai_ZTSBSyg",
"tNOzfuKCce0",
"KeDfXcw_PH4",
"3k0Lc9Q8x_4",
"HDcep1Gxokk",
"LBovyFB_oYw",
"zEn-vDh2WfQ",
"MUgR8pT_okM",
"D979jFSNix8",
"mFloZYkRuIk",
"bG7oKcIYlnA",
"s7tx8-4BQ84",
"1-vqTyu_uz0",
"RYdiN624Xs4",
"KRDMAC0_eME",
"rN6reobgKmU",
"1jFH-iVP2fA",
"7o8xzr3cDyM",
"Sc7_q0Perts",
"_ZPCXwAbUWU",
"F_cdfYbDfz4",
"iB3e--7jpn4",
"X5EAVvZAxT8",
"TAdXeagX1SU",
"gQjROJg8XLI",
"eNz3iZZYl5E",
"o_XpPtRoGrY",
"pPshmCzC3z4",
"vtduQTZ6b8g",
"8B6vi7NknCY",
"-Z_f3wdj3qI",
,"Luar biasa !!"
"oZpzzMNoxEo",
"haBjNycrqMc",
,"Untuk nama lengkap pembicarfanya siapa ya?"
,"❗ p̲r̲o̲m̲o̲s̲m̲"
"RW1s0VBbWxo",
"NhOOzF_sIBI",
"Hap3zFT_oZI",
"CtzUMsPXtAs",
"SG56eENTtOo",
"ykOBbiHWfYM",
"nTu0YBc3SzE",
"gI2llJh97b8",
"X8QhMc2G07c",
"l1jHeMNj1-w",
"y0lpya_3TEU",
"WxhyVItMlH8",
"ZxBtWmm2eFg",
"SC4uEDzktFw",
"pTKj8mOsoIM",
"IFpYQgsehb0",
"FBfOjqzN5Eg",
"CnuWSv4E2Jc",
"Cq9y1RNwKWs",
"e9OC57f7xfw",
"NKlp3wjziZk",
"ecbtGT_v-6I",
"faeS6uqm_5A",
"SOMPvsPos1c",
"2yp4nqxNZrE",
"y3EGRPgEGeI",
"aSN92FxTmtk",
"Xkkkuj33TL0",
"XqBXDm3aRzc",
"BKIx9CNAiKY",
,"Menyimak, kemarin ketinggalan..."
"PE8a_zPdDRw",
,"Matur nuwun"
"Gf1rzHIQZlY",
"is2kzZ2SJiw",
"DzZYHLD4PsI",
"loSOK24bPAU",
"MZOuO2URCk0",
"mZ3Z--sR2tA",
"yCUjViE_x34",
,"Alhamdulillah bisa mengikuti materi bagus ini"
,"Menyimak .."
"3uAFSYDoVrU",
"qFrz9Z6gmyY",
"dH4aFjEZ-0c",
"Qe7zJyMaMzY",
"WbpOmYwCcbg",
"GOkpxnmXbHs",
"ZlXZKDcVFvg",
"14LBTNAlKHc",
"ieHOLbcAgro",
"21Drt-jsNVs",
"alykLx7Zy1k",
,"Weh sangat membantu"
"NZG7mpUrcU4",
"gXs0VddBwpU",
,"Mantap sangat meng edukasi"
,"multcloud saya pakai akun ugm kok cuma bisa 5gb ya?"
"9aoeSsAU24Q",
"cLyJch6nElE",
"2AYqwbZXtYk",
,"Mod nya mana kak"
"vtcn235jgHQ",
"0xWZKivopoM",
"tqPogC4Ihj4",
"7Mou5Lw-LPA",
,"Bang, kami sering meeting MT tetapi kadang tiba2 termute dan ketendang sendiri dari meeting itu kendalanya apa ya"
,"Bang, siapa yang bisa mute unmute di ms team? Apakah hanya host yang bisa melakukan?"
"3xSX-iapOn0",
"6UFJKR8jUGg",
,"Hi Kak Jihan, mungkin dapat menghubungi langsung bagian DSSDI UGM, sependek yang kami tahu semua akun Office 365 di tenant mana pun memiliki kapasitas default 1 TB. terima kasih"
"wUTtwwGxGOk",
"DZWoAzyMs9Y",
,"Minecraft hmmm creative & inovatif"
"YUTGeZeGjdU",
"dbAUwMYgD6o",
"KU9wJDSSRqU",
"VnXKpSEH-cE",
"C3Q0fpAVX-E",
,"Cara memilih level bagaimana ya kak? soalnya saya pada tahap itu close, kemudian ketika akan melanjutkan aktivasi, sudah tidak ada jendela pilihan level."
"bnwdjZNvQZA",
"ZV0eE1iy45I",
"REorKWurcys",
,"Kalau enggak bisa dapat kode di HP gimana ya ka ?"
"_NqIpgwhPw4",
"yQMMmujy3Nc",
"tN1rDvwQyjg",
,"Bermanfaat banget 👍👍👍😎🎧"
,"apakah ada video sesi lanjutannya ya kak?"
,"Ijin pakai videonya untuk pembelajaran di kelas"
,"Mantabsss euy"
"8qg-PS8e7og",
"4krr3ylmvGw",
"AQaexfhIips",
"p8gtqCwwBWo",
"DtEb-jEmZlQ",
"EChdWikWKCc",
"2pAnvi7iW8I",
"PcygkB30h3k",
"TmS4BWZ6Gmk",
"mRhhWYKK4Kc",
"IzY7gtVU3SA",
"w0pfkMd80jA",
"AkHIDph_BAo",
"2OqLx76563Y",
"hmjrfqBx8xo",
"O-byCXWvWt0",
"opep5MXI4VE",
"MB6FCgkkSi0",
"SEYrjqqVrJw",
"iCoDc6PeqfU",
"ywv9bFGKdZI",
"Sos8Lk4Rbug",
"DzIOszIwpGg",
"HqILs1LzMic",
"-25LqfC_bNw",
"q-eFD9gmCpA",
"fMvh8eywM4A",
"B-6OV2Slzrk",
"lxNboPXB_Is",
"U9Z-YSUlj2w",
"1sM88tUxaUA",
"ZFZLBOiowKI",
"SgcxFlWGkxY",
"w7qioVjMdQo",
"539pZS-KGxg",
"3ub6z0c8Lhk",
"F_PWyc2npfQ",
"_VCaMI1SdIg",
"OxN1Rgug4Vk",
"JGJ6CySrw3o",
"l0E6_kSY2CI",
"hiV-92mPzKc",
"irPORwyAGoA",
"kF4eiUHKvR8",
"TONcKDLcKgg",
"DOKpUtpi37k",
"kV9jCV5VIQ4",
"4NgmlXM25MQ",
"eiLoAikyEnY",
"MgghEkNtW-Y",
"8-F1lPNkTcI",
"G7SqAKA8_F4",
"54CjzccdqV0",
"mtxrmkDwtQk",
"olZqH4-H_Pk",
"KtdRlgc9dCw",
"7DrvDPM7vqs",
"tQRArYuIpW4",
"tXAK1pmnUcM",
"fdOueI3ezxo",
,"ingin tau lebih mendalam"
,"Hallo"
"3r0au-sacAE",
"yJzomIpXAfs",
"WqykfP2i4hw",
"GeCBhCp12NU",
"w61Rui_upiQ",
,"Mantap"
"P7yzuOCCoEU",
"W3bqhVxaGJ0",
"UZWN-0BfVEY",
"dGrdeyzcUMo",
"zzvtEE0V6mM",
"w7d5vbEpJG0",
"pyra8Ak9TxM",
,"Yaampun udah 6 tahun ngeyoutube, masih aja srpi"
,"Yaampun udah 6 tahun ngeyoutube, masih aja sepi"
,"Thanks mas"
"xV9MZTcY9nQ",
"X3jcDgE-eik",
,"Aku Bangga Dengan Minecraft :)"
"VIhQHekqWQc",
"ievCSbVrN4A",
,"Heloo KK, saya ingin bertanya, saya sudah membuat Approvel dari MS form dan sudah berhasil tetapi, saya mempunyai masalah,saya sendri yang membuat sistem Approvel di ms flow, yang saya terima di email, dikirim mengguankan email yang sama dengan email saya saat membuat MS Form, pertanyaan saya bagaimana cara mengganti email pengirim sesuai dengan email submiter ketika submit ms form? terimakasih"
,"terlalu cepat bos.. kalau bisa ada suara tutorial nya karena kalau baca text terlalu cepat"
,"Itu donwload apa ya?"
,"Kak... Boleh minta cp nya... Sekolah saya berniat untuk membuat majalah digital"
,"Makasih"
,"nama aplikasi ny apa"
,"Jazakallah khairan ilmunya,,"
,"Download apk sway nya gimana ka?"
,"mantap ilmunya... terima kasih"
"qA8jgYJ6fi0",
"Ka28Hb-1qFU",
"ck0Kq6apgFE",
"AFKyyht8eHw",
"MQoUXRrBV4U",
"CprtZ9T1DZA",
,"Bermanfaat banget, makasih kakaaa"
,"kok banyak game online yg gk support ya bang windows 10 education"
,"install printernya jg ribet !!"
,"apakah windows edu nyaman di pakai juga untuk aktivitas kantoran?? perbedaan nya apa saja windows biasa dgn win edu ??"
,"Yah gimana lagi? Kan itu udah jelas namanya, Education. Jadi, Windowsnya khusus untuk sekolah aja."
,"Buat belajar bro"
"mhxGpS1LfNQ",
,"BERMANFAAT"
"kOePCtil9n8",
"NEj5fPlYi6k",
"sr9HKkjMuaI",
"s_3hZs0N2t0",
,"enak banget ngejelasinnya"
,"mantab nih.. Terima kasih bang.. Sukses selalu..."
,"mas kenapa ketika mengimport file latitude longitude dari excel titiknya hilangnya di PBI?"
,"Mau tanya, Power BI apakah bisa running on Macbook?"
,"Lanjutkan Bos totorial power BI , terimakasih 😊"
,"Matul Boss, terimakasih"
,"makasih tutorialnya gan, membantu saya saat magang, suskes buat tutorial yang bermanfaat"
,"Bang bisa minta datasetnya buat praktek? atau bisa didapat dari mana ya"
,"Good explanation, thanks!"
,"bang apakah wilayah nya bisa per kabupaten/kota???"
,"databasenya bisa dari google spreadsheet tidak yaah?"
,"Ya elah udah nungguin lama, ternyata gak d ajarin cara bikin tampilan itu zzzzz"
,"Mohon infonya apakah bisa blajar online via zoom atau gmeet?"
,"simpel, jelas.. makasih"
,"Terima kasih pencerahannya, sukses selalu mas."
,"bang, kalo ada  kolom excel  , data sales vs target jadi persentase, bgmn buat grafik %  nya di power bi ?"
,"Hallo Mas, saya bingung untuk price power BI..itu per user dan per bulana kan yah

Kalo kasusnya mau dipasang di sebuah perusahaan dimana yg siapin data 2 orang atau bisa dari database sendiri lalu dashboard bisa dilihat banyak user atau public, itu belinya 1 user ajah atau masing2 user yg mau lihat dashboard beli juga?

Makasih"
,"kak MariBelajar ada nama instagramnya ga ya?"
,"Pak, bisa gak buat lantihan nya, dikasih sample excel data nya dan cara membangung visualisanya."
,"keren bpk ,,, bisa share file nya untuk praktik"
"yZAX336S4WM",
"rtiSQAKvNcU",
"KkZJyNFd1zQ",
"bmjAyzy2AWg",
"2wLf3HT4RKI",
"8i9JM4sk-3w",
