,text_bersih
0,Min mau tanya email mari belajar kok ke logout login lagi ngak bisa kenapa ya minmohon informasinya
1,Hi kak rizkymutiara86 benar akun maribelajar sudah kami non aktifkan beberapa waktu yang lalu
2,maribelajarid baiklah lalu untuk file2 yang kami simpan di situ bagaimana ya min masih ada sertif yamg belum terunduh soalnya tidak ada pemberitahuan akan di nonaktifkan apakah bisa di bantu
3,rizkymutiara86 hi kak mohon periksa dm kami terkait sertifikat bisa diunduh tanpa harus signin terlebih dahulu
4,Untuk Mahasiswa apakah boleh ikut
5,Hi kak irvanm diperbolehkan
6,Berbayar atau gratis kak
7,jrmatheos gratis kak 
8,Uang saku yang tertulis 12juta perbulan berubah menjadi 400ribu ya perbulan
9,awesomevideosid hallo kak jangan lupa untuk ikuti penjelasan terkait uang saku besok yaa 
10,httpstwittercombiayswifestatus1504800460481335296t2kx0enoO8EM4Dxr9nJExvQs19 Review dari batch 2 untuk mari belajar
11,
12,semesester 3 bisa daftar tidak kak 
13,Udahhh ga sabar 
14,rahmanitaauliya minimal semester 5 pada saat program studi independen dimulai kak  m
15,maribelajarid kak pengumuman nya kapan ya kak Apakah ada tes nya ya setelaj mendaftar
16,Untuk yg MET ada syarat spek laptopnya tidak Dan software juga  soalnya saya baca disitu kita belajar office 365 Sedangkan di saya ga ada 365 ka
17,Halo ka apa pendaftaran sudah ditutup ya Aku mau coba daftar barusan ga bisa 
18,Apakah untuk learning track Intelligence Cloud Track materinya sama dengan Data  AI di Batch 1 Atau yg batch 2 ini lebih advance
19,Kapan pengumuman nya ya
20,Jadwal pembelajarannya jambrpa aja ya min
21,maribelajarid setiap pathwaylearning track yang ada dapat berapa sertifikasi ya min Terimakasih
22,Untuk learning track modern educator track apakah harus memiliki laptop dengan spesifikasi tertentu
23,mynameis22 minimal office 2019 kak
24,Min boleh menjelaskan mengenai logo certification  modern worker track 
25,Hai kak min aku udah acc SI Information Worker Track di aku MBKM aku selanjutnya apaya kak min
26,ndahayps sama
27,vidaoliviaprimadhany aku nitip yasoanya sama kendalanyaa Aku udh acc jga tpi blm tau info selanjutnya seperti apa
28,pritioktav iya hayuk kita up sampe kak min tanggapin
29,maribelajarid office 2016 gk bisa dong kak
30,theresyadrstn bantu jawab bisa install aja banyak kok tutor di ytb
31,ynhhdh takut bajakan 
32,theresyadrstn syedih kitaa
33,ynhhdh office saya luarannya tulisan 2016 tapi karena punya akun office 365 bisa jadi 365 officenyaa
34,vidaoliviaprimadhany nitip
35,Kak mau tanya kalo ICT itu spesifikasi laptopnya bagaimana ya kak Soalnya punya saya yang model lama
36,kaxjyone yuk up yuk
37,Kak mau tanya kalo ICT itu spesifikasi laptopnya bagaimana ya kak Soalnya punya saya yang model lama
38,vidaoliviaprimadhany nitip juga gez
39,maribelajarid untuk yg IWT sama juga kah min minimal 2019 Jawab yaa besok hari terakhir untuk terima apa enggak program nya
40,pritioktav halo kak mau tanya Apa udah ada kabar setelah acc harus ngapain
41,viniesm hallobisa dm aja yaa
42,Halo kaka admin apakah semua orang dapat ikut walau belum bekerja
43,syayafa Hi Kak Syafa diperkenankan kak silakan mendaftar 
44,Min tolong cek dm ya terimakasih
45,ninisfi oke kak 
46,Selamat malam kak mohon maaf mengganggu Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia Saya harap mendapatkan link baru soalnya sudah dekat tanggal 5 Terima kasih
47,tianiexo sudah maksudnya
48,tianiexo halo kak surat Pernyataan Tanggung Jawab Mutlak dapat diunduh di website Maribelajarcoid
49,maribelajarid ok kak mohon maaf merepotkan
50,Halo min tolong cek dm ya
51,maribelajarid min saya masih belum mendapatkan gmail terkait mengikuti on boarding Apakah masih dalam artian ya pengiriman nya
52,Jam kerja ya Min Sayang sekali Ada relaynya di youtube ga
53,Halo min tolong cek dm yaa Terima kasih
54,Halo min maribelajarid  minta tolong cek dm ya saya menerima email undangan on boarding dan akun microsoft 365 dengan jalur lain bukan yg saya daftar sebelumnya terimakasih
55,Hi kak bisa diabaikan email sebelumnya ya dan email yang sesuai dg jalur pembelajaran yang kakak pilih telah kami kirimkanterima kasih
56,dheazah3 hi kak silakan cek email kembali ya
57,Cek dm min tolong
58,maribelajarid kalau untuk bbrp kolom data PIC Kampus di form pengumpulan dokumen adminstratif itu Koordinator MBKM Universitas ya min atau boleh dosen pembimbing MBKM Terimakasih
59,Hi kak Boleh pembimbing namun disarankan dpt diisi dg pic kampus
60,maribelajarid baik kak terimakasih infonya
61,maribelajarid  hi kak mau bertanya lg kmrn saya tidak bisa mengisi angka 0 pada kolom no hp PIC kampus di form maribelajar utk pengumpulan sptjm dan surat rekomendasi skrg saya cb lg ttp tdk bs itu gpp ya kak tanpa angka 0 terimakasih
62,Saya sudah daftar tapi tidak dapat email untuk melakukan test kak
63,sayarevanza hallo kak mohon cek email berkala ya saat ini kami masih dalam tahap proses seleksi berkas 
64,maribelajarid saya bach2 ikut intteligence cloud kalau misal nya mau ikut tentang cloud lagi saya ambil program yang mana yya kak soal nya beda program kak
65,d4 bisa ikut ga ya min
66,Kak saya sudah mendaftar 4 hari yang lalu tapi statusnya masih sudah daftar kak
67,maribelajarid admin link untuk pre test saya untuk MSIB cycle 3 tidak bisa dibuka apakah bisa minta link baru
68,httpsgomaribelajarorgdaftarMSIB
69,Untuk jadwal hariannya bisa di lihat dimana ya min
70,jadwal kelasnya pagimalam ya min maribelajarid
71,
72,
73,Mau tnya min utk SPTJM itu bgian wkil direktur kemahasiswaan mksdnya wakil rektor atau wakil dekan
74,Yeay
75,afradillah77 Hi kak dapat ditanda tangani oleh pihak level universitas kak misalnya wakil rektor
76,maribelajarid apakah bisa keringanan wakil dekan sj min Soalnya kalau warek susah lumayan susah ditemui dan ini udh ddline 5 Februari batas up berkasnya
77,maribelajarid untuk periode kegiatan kontrak apakah sudah bisa dimasukkan sekarang min  7 Feb  24 Juni
78,fraa5129 iyaa benar banget jadi was2
79,maribelajarid Permisi kak Apakah surat rekomendasinya harus ditandatangani Kaprodi atau boleh Dekan Fakultas saja Mohon konfirmasinya Terima kasih
80,Min mau tanya boleh minta silabuscapaian perprogramnya tidak min
81,yggmf hi kak boleh Besok akan kami bagikan di kelas virtual ya Thanks
82,ratnatiaratq hi kak boleh
83,kvnhi95 hi kak terkait permasalahan ini bisa langsng menghubungi kampus merdeka via tawkto pop up chat yang ada di platform ya sembari kami akan sampaikan permasalahan ini ke kampus merdeka Thanks
84,maribelajarid Baik Kak terimakasih
85,Min kalau mau nonton ulang Onboarding yang tadi dimana ya
86,maribelajarid mau nanya min untuk pengumuman lolos nya kapan ya Soalnya saya udah lama daftar tapi masih keterangan Masih dalam seleksi
87,Halo ka izin bertanya mengenai PIC kampus itu untuk keperluan apa ya  apakah untuk konfirmasi mengenai konversi sks ataukah hal lainnya
88,wildahtrianaa hi kak ini dilakukan utk pengiriman progress belajar mhasiswa Shg dpt termonitoring dg baik oleh kampus Thanks
89,maribelajarid Mohon maaf kak izin bertanya bagaimana melihat nama email dan nomor hp dari PIC kampus kita Atau temanteman disini ada tahu caranya Terimakasih
90,Kalau masih sudah daftra karena baru daftar kemarin apakah memang belum ya
91,syayafa bisa di cek email secara berkala kak
92,Izin bertanya min seminggu berapa kali kelas ya
93,Izin bertanya min saya sudah mengikuti pretest dari hari selasa tetapi sampek hari jumat ini blom dapat notifikasi lagi ya mohon pencerahan nya min
94,Izin bertanya min apakah belum ada pengumuman hasil kelulusan yah min Terimakasih sebelumnya
95,Selamat malam kak mohon maaf mengganggu Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia Saya harap mendapatkan link baru soalnya sudah dekat tanggal 5 Terima kasih
96,Bikin yg angka romawi dan angka biasa min terus tata letaknya atas atau bawah itu berguna banget buat yg skripsian Bikin reels aja
97,byukadji Hi kak terima kasih atas masukannya Kami tampung dulu ya 
98,Batch 1 kmrn aku ikut program yg modern productivity skrg kebantu bgt ikutan studi independent ini buat aku skripsianthankyou maribelajar
99,selalu pakai cara ini untuk buat daftar isi
100,desrareifka tutor dong suhu
101,byukadji aduh kalah sama yg lebih suhu nih
102,Min mau tnya mngenai SPTJM MSIB itu formatnya yg diganti ckup nama ybs atau hrus diberi kop suratnya
103,Tadi saya dengar pemaparan dari pemateri bahwa ttd Wakil Rektor untuk SPTJM boleh digital Apakah saya bisa mendapat respon disini bahwa itu boleh Karena pihak kampus menuntut itu maribelajarid
104,Super membantu min
105,
106,
107,
108,Congrats
109,wahh mantap jangan lupa kunjungi profil kami yaa
110,semoga lolos
111,setelah pretest apa ada tes yg lain min
112,Sudah ngerjain pretest Info selanjutnya kirakira kapan ya min
113,Apakah untuk pengumuman diterimatidaknya setelah mengerjakan pretest akan diberitahukan melalui email kak maribelajarid 
114,Setelah pretest pengumuman selanjutnya bagaimana ya kak
115,urdearestblue mohon maaf saya ingin bertanya karena kakaknya sepertinya sudah mengikuti pretest 1 minggu lalu Untuk pengumuman lolos tidaknya apakah kakak tau akan bagaimana
116,Semoga saya lolos
117,ka udh ikutan pretestnya 
118,wdyayptr ia kak sudah cuman belum ada info untuk tahap selanjutnya
119,Daftar pathway apa ka
120,Kak apakah nanti ada kepastian info  untuk yg keterima atau tidak setelah ikut pretest
121,gabaguss microsoft Batch kak
122,Belum pengumuman kah
123,gabaguss belum kak masih menunggu
124,semoga lolos
125,Halo selamat sore bapakibu Perkenalkan saya Salsabilla Putri Arista Member Mari Belajar bersama Microsoft MSIB Angkatan 1 Kampus Merdeka Izin bertanya terkait sertifikat MariBelajar Angkatan 1 tidak bisa diakses Lalu Bagaiamana cara untuk download sertifikatnya bapakibu Terimakasih 
126,salsabillaaristaa cek Dm kami ya
127,Min perbaiki dulu web nya Loker kmren masih tercantoll gimana mau tambahi ijazah S1 nya
128,vzrenggamani
129,anonimusiid maribelajarid
130,Hi anonimusiid  dan nandariziq saat ini kamu dapat mencoba kembali untuk unggah berkas yang di maksud Apabila masih belum bisa mohon dm kami untuk  nama lengkap Anda Terimakasih 
131,fendiirfan
132,Terima kasih Tuhan memberkari
133,
134,
135,
136,
137,Min kok komennya dilimit min  vibicloud
138,Pertamax pertamaxx
139,Keren selamat untuk para pemenang
140,mantapp
141,Min offline dong maribelajarid
142,Min Yang lowongan kmren kog belum di proses ya Kalau nggak di terima tolong di tolak aja soalnya mau ngedit di bagian ijazah
143,Mau tanya career maribelajar apakah itu untuk S1 
144,anonimusiid tersedia dari beberapa jenjang pendidikan kak tidak hanya dari S1 
145,maribelajarid  jadi bisa gunakan ijazah sma ya untuk daftar
146,
147,Yah udh abis kuota aku
148,dapet uang saku gak min
149,izin tanya min untuk jadwal pembelajarannya bagaimana ya 
150,Offering mitranya kira² tanggal berapa ya kak
151,Ini udah pengumuman belum yadi status pendaftatanku belum berubah masihsudah daftar
152,Ayok bismillah bisa maribelajar proses pendaftarankuubiar bisa keterima disiniii
153,Apakah sudah ada grup belajarnya kak
154,Ada  uang bantuan uang saku kak 
155,jrbjrb658 lolos ga kak
156,agusspresley lolos kak
157,ikhwanzbkhi lolos bang
158,agusspresley ngambil apa bang
159,ikhwanzbkhi microsoft platform developer
160,agusspresley pengumuman nya dimana kak
161,saddamalyudin di gmail juga ada kok kalo ga cek di web kampus merdeka nya bang
162,agusspresley wah samaa kak
163,sodonewith udah ada info info lagi gaa atau grup wa gitu
164,agusspresley beluum kak
165,sodonewith kata adminnya segala informasi bakal d sampein d waemail Dn blm ada grup officialnya gtu
166,Mau tanya ada yang udah lolos msib 5 ga terus ambil tawaran di mari belajar Microsoft ini
167,sodonewith udah ada kak itu grup wa nya coba cek
168,intananggi15 aku udah lolos kak
169,Kpn ad lagi
170,doniindraaa hi kak tunggu postingan kami selanjutnya ya turn on notifications agar tidak terlewat 
171,bdindaaaa oh iya kak terima kasih banyak yaa kak untuk jawabannya Sangat bermanfaat sukses selalu kak
172,Kalo udah dinyatakan lolos maribelajar di web kampus merdeka itu ga akan ada seleksi lagi kan
173,halo min izin bertanya untuk pengumuman setelah pretest kapan ya apakah nanti ada email lebih lanjut untuk pengumuman lolostidaknya Terima kasih
174,justninn halo kakk boleh tau surat rekomendasi yg diminta itu formatnya gimana ya saya juga udah dapet email permintaan surkom cuma ngga ngerti apa bedanya dg surkom pas daftar 
