,text_bersih
0,Это видео мне подняло  настроение0
1,ЭТО ТАК ПРИКОЛЬНО МОНТАЖ СУПЕР УДАЧИ ТЕБК В РОЗВИТИЙ Я В ТЕБЯ ВЕРЮ
2,Luar biasa 
3, promosm
4,Untuk nama lengkap pembicarfanya siapa ya
5,Menyimak kemarin ketinggalan
6,Menyimak 
7,Alhamdulillah bisa mengikuti materi bagus ini
8,Matur nuwun
9,Bang kami sering meeting MT tetapi kadang tiba2 termute dan ketendang sendiri dari meeting itu kendalanya apa ya
10,Bang siapa yang bisa mute unmute di ms team Apakah hanya host yang bisa melakukan
11,Weh sangat membantu
12,Mantap sangat meng edukasi
13,multcloud saya pakai akun ugm kok cuma bisa 5gb ya
14,Hi Kak Jihan mungkin dapat menghubungi langsung bagian DSSDI UGM sependek yang kami tahu semua akun Office 365 di tenant mana pun memiliki kapasitas default 1 TB terima kasih
15,ingin tau lebih mendalam
16,Hallo
17,Mod nya mana kak
18,Minecraft hmmm creative  inovatif
19,Aku Bangga Dengan Minecraft 
20,Cara memilih level bagaimana ya kak soalnya saya pada tahap itu close kemudian ketika akan melanjutkan aktivasi sudah tidak ada jendela pilihan level
21,Kalau enggak bisa dapat kode di HP gimana ya ka 
22,Mantap
23,BERMANFAAT
24,Siap belajar bu terima kasih Udah mampir ke channel rolla 
25,Terimakasih tutorialnya 
26,Tutorial yang saya cari initerimakasih bunda sangat bermanfaat
27,bermanfaat
28,ilmu baru nih appreciate it good
29,kok diakhir seperti terputus ya
30,Trims ilmunyasmga sukses n sehat selalu
31,mantab bu
32,Mantap makasih materinya
33,siip
34,Ini keren bangettrims ilmunya 
35,sayangblm selese dah keburu berhentijd penasaranujungnya gimana nih tampilannya
36,Terima kasih sangat membantu dan bermanfaat
37,Salam sukses selalu semoga bsa bermanffat buat yg lain jg pak
38,Terima kasih Bu
39,Terima kasih Bu 
40,Sangat membantu dan pembelajaran jd menyenangkan
41,trims ilmunya
42,Bermanfaat banget 
43,apakah ada video sesi lanjutannya ya kak
44,Ijin pakai videonya untuk pembelajaran di kelas
45,Yaampun udah 6 tahun ngeyoutube masih aja srpi
46,Yaampun udah 6 tahun ngeyoutube masih aja sepi
47,Itu donwload apa ya
48,Kak Boleh minta cp nya Sekolah saya berniat untuk membuat majalah digital
49,Makasih
50,nama aplikasi ny apa
51,Jazakallah khairan ilmunya
52,Download apk sway nya gimana ka
53,mantap ilmunya terima kasih
54,Hi Kak Nissa untuk Sway saat ini tidak tersedia apknya karena aplikasi ini berbasis web terima kasih
55,HADIR Anda Sukanda SPd SMP Negeri 2 Jatiwangi Kabupaten Majalengka Jawa Barat
56,Sway kak
57,Heloo KK saya ingin bertanya saya sudah membuat Approvel dari MS form dan sudah berhasil tetapi saya mempunyai masalahsaya sendri yang membuat sistem Approvel di ms flow yang saya terima di email dikirim mengguankan email yang sama dengan email saya saat membuat MS Form pertanyaan saya bagaimana cara mengganti email pengirim sesuai dengan email submiter ketika submit ms form terimakasih
58,terlalu cepat bos kalau bisa ada suara tutorial nya karena kalau baca text terlalu cepat
59,Thanks mas
60,Kok di calendar saya engga ada icon tanda panah kebawah itu ya engga ada pilihan live event nya
61,Bermanfaat banget makasih kakaaa
62,enak banget ngejelasinnya
63,mantab nih Terima kasih bang Sukses selalu
64,mas kenapa ketika mengimport file latitude longitude dari excel titiknya hilangnya di PBI
65,Mau tanya Power BI apakah bisa running on Macbook
66,Lanjutkan Bos totorial power BI  terimakasih 
67,Matul Boss terimakasih
68,makasih tutorialnya gan membantu saya saat magang suskes buat tutorial yang bermanfaat
69,Bang bisa minta datasetnya buat praktek atau bisa didapat dari mana ya
70,Good explanation thanks
71,bang apakah wilayah nya bisa per kabupatenkota
72,databasenya bisa dari google spreadsheet tidak yaah
73,Ya elah udah nungguin lama ternyata gak d ajarin cara bikin tampilan itu zzzzz
74,Mohon infonya apakah bisa blajar online via zoom atau gmeet
75,simpel jelas makasih
76,Terima kasih pencerahannya sukses selalu mas
77,bang kalo ada  kolom excel   data sales vs target jadi persentase bgmn buat grafik   nya di power bi 
"78,""Hallo Mas saya bingung untuk price power BIitu per user dan per bulana kan yah"
Kalo kasusnya mau dipasang di sebuah perusahaan dimana yg siapin data 2 orang atau bisa dari database sendiri lalu dashboard bisa dilihat banyak user atau public itu belinya 1 user ajah atau masing2 user yg mau lihat dashboard beli juga
"Makasih"""
79,kak MariBelajar ada nama instagramnya ga ya
